city,lat,lng,country,population
Valletta,35.8997,14.5147,Malta,368250
Maastricht,50.853,5.677,Netherlands,122378
Amsterdam,52.35,4.9166,Netherlands,1031000
The Hague,52.08,4.27,Netherlands,1406000
Haarlem,52.3804,4.63,Netherlands,349957
Groningen,53.2204,6.58,Netherlands,216688
Middelburg,51.502,3.61,Netherlands,46485
Lelystad,52.5176,5.474,Netherlands,
Arnhem,51.988,5.923,Netherlands,141674
Assen,53,6.55,Netherlands,62237
's-Hertogenbosch,51.6833,5.3167,Netherlands,134520
Zwolle,52.524,6.097,Netherlands,111805
Utrecht,52.1003,5.12,Netherlands,640000
Leeuwarden,53.2504,5.7834,Netherlands,125778
Rotterdam,51.92,4.48,Netherlands,1005000
Eindhoven,51.43,5.5,Netherlands,398053
Tromsø,69.6351,18.992,Norway,52436
Molde,62.7483,7.1833,Norway,18594
Vossavangen,60.63,6.441,Norway,5571
Oslo,59.9167,10.75,Norway,835000
Lillehammer,61.1333,10.5,Norway,19542
Bærum,59.9135,11.3472,Norway,113659
Stavanger,58.97,5.68,Norway,173132
Hermansverk,61.1833,6.85,Norway,
Leikanger,61.1833,6.85,Norway,1965
Kristiansand,58.1666,8,Norway,63814
Bergen,60.391,5.3245,Norway,213585
Skien,59.2,9.6,Norway,73330
Arendal,58.4648,8.766,Norway,30916
Hamar,60.82,11.069,Norway,29479
Tønsberg,59.264,10.421,Norway,38914
Drammen,59.7572,10.1907,Norway,90722
Bodø,67.2468,14.399,Norway,34073
Haugesund,59.4119,5.2775,Norway,40321
Svolvær,68.2333,14.5667,Norway,4197
Narvik,68.3832,17.29,Norway,20000
Ålesund,62.5454,6.388,Norway,47772
Hammerfest,70.6613,23.688,Norway,10000
Harstad,68.7879,16.5156,Norway,19433
Finnsnes,69.2406,18.0086,Norway,3907
Alta,69.9666,23.2417,Norway,12077
Kirkenes,69.725,30.0516,Norway,3282
Sandnes,58.8454,5.69,Norway,46911
Gjøvik,60.8,10.7,Norway,22719
Mo i Rana,66.3166,14.1667,Norway,20409
Sarpsborg,59.2833,11.1167,Norway,
Moss,59.437,10.6692,Norway,36901
Vadsø,70.0966,29.7657,Norway,5139
Rørvik,64.868,11.2053,Norway,2615
Namsos,64.4833,11.5,Norway,9035
Trondheim,63.4167,10.4167,Norway,147139
Steinkjer,64.0171,11.5,Norway,11274
Funchal,32.65,-16.88,Portugal,204767
Setúbal,38.53,-8.9,Portugal,117974
Lisbon,38.7227,-9.1449,Portugal,2812000
Évora,38.56,-7.906,Portugal,55620
